a,b,road_km
Agartala,Agra,1651.287
Agartala,Ahmedabad,2364.375
Agartala,Aizawl,318.141
Agartala,Ajmer,2021.318
Agartala,Akola,1803.794
Agartala,Aligarh,1697.000
Agartala,Alwar,1813.205
Agartala,Amravati,1706.614
Agartala,Amritsar,2242.086
Agartala,Anantapur,2096.376
Agartala,Arrah,939.629
Agartala,Aurangabad,899.059
Agartala,Azamgarh,1143.444
Agartala,Ballari,2134.306
Agartala,Bareilly,1620.997
Agartala,Bathinda,2185.897
Agartala,Begusarai,788.365
Agartala,Belagavi,2444.016
Agartala,Bengaluru,2244.045
Agartala,Bhagalpur,689.346
Agartala,Bhopal,1805.503
Agartala,Bhubaneswar,855.571
Agartala,Bikaner,2221.836
Agartala,Bilaspur,1209.029
Agartala,Brahmapur,1024.666
Agartala,Chandigarh,2068.994
Agartala,Chennai,2092.133
Agartala,Coimbatore,2514.216
Agartala,Darbhanga,762.698
Agartala,Davangere,2328.859
Agartala,Dehradun,1919.277
Agartala,Delhi,1841.633
Agartala,Deoghar,644.626
Agartala,Dhanbad,661.564
Agartala,Dibrugarh,793.020
Agartala,Dindigul,2511.285
Agartala,Durgapur,560.969
Agartala,Erode,2408.891
Agartala,Etawah,1531.615
Agartala,Farrukhabad,1541.702
Agartala,Gaya,872.988
Agartala,Giridih,704.622
Agartala,Gorakhpur,1148.493
Agartala,Guwahati,386.921
Agartala,Gwalior,1641.807
Agartala,Hazaribagh,780.294
Agartala,Hisar,2025.429
Agartala,Hubballi,2344.441
Agartala,Hyderabad,1847.606
Agartala,Imphal,535.172
Agartala,Indore,1981.333
Agartala,Jabalpur,1522.679
Agartala,Jaipur,1891.076
Agartala,Jalandhar,2162.176
Agartala,Jalgaon,1979.666
Agartala,Jammu,2380.715
Agartala,Jamnagar,2670.174
Agartala,Jamshedpur,697.645
Agartala,Jhansi,1598.441
Agartala,Jodhpur,2223.517
Agartala,Kakinada,1438.404
Agartala,Kalaburagi,2085.171
Agartala,Kanpur,1403.101
Agartala,Karnal,1913.270
Agartala,Karur,2435.588
Agartala,Kochi,2695.658
Agartala,Kolhapur,2378.617
Agartala,Kolkata,424.200
Agartala,Kollam,2821.535
Agartala,Korba,1178.518
Agartala,Kota,1919.536
Agartala,Kozhikode,2592.367
Agartala,Kurnool,1963.650
