state,petrol,diesel,cng,source
Andaman and Nicobar,93.5,86.77,73.49,estimated
Andhra Pradesh,113.6,105.42,89.29,estimated
Arunachal Pradesh,103.4,95.96,81.27,estimated
Assam,105.2,97.63,82.69,estimated
Bihar,109.3,101.43,85.91,estimated
Chandigarh,100.9,93.64,79.31,estimated
Chhattisgarh,108.1,100.32,84.97,estimated
Dadra and Nagar Haveli and Daman and Diu,103.2,95.77,81.12,estimated
Delhi,102.12,94.77,80.27,verified
Goa,104.6,97.07,82.22,estimated
Gujarat,105.0,97.44,82.53,estimated
Haryana,104.3,96.79,81.98,estimated
Himachal Pradesh,100.4,93.17,78.91,estimated
Jammu and Kashmir,107.9,100.13,84.81,estimated
Jharkhand,106.2,98.55,83.47,estimated
Karnataka,110.93,102.94,87.19,verified
Kerala,109.8,101.89,86.3,estimated
Ladakh,108.5,100.69,85.28,estimated
Madhya Pradesh,112.4,104.31,88.35,estimated
Maharashtra,111.18,103.18,87.39,verified
Manipur,104.9,97.35,82.45,estimated
Meghalaya,105.6,98.0,83.0,estimated
Mizoram,103.8,96.33,81.59,estimated
Nagaland,105.1,97.53,82.61,estimated
Odisha,106.8,99.11,83.94,estimated
Puducherry,104.8,97.25,82.37,estimated
Punjab,104.1,96.6,81.82,estimated
Rajasthan,110.2,102.27,86.62,estimated
Sikkim,105.4,97.81,82.84,estimated
Tamil Nadu,107.77,100.01,84.71,verified
Telangana,115.69,107.36,90.93,verified
Tripura,106.3,98.65,83.55,estimated
Uttar Pradesh,103.6,96.14,81.43,estimated
Uttarakhand,103.9,96.42,81.67,estimated
West Bengal,113.47,105.3,89.19,verified
