start_city,start_state,start_lat,start_lon,dest_city,dest_state,dest_lat,dest_lon,haversine_km,road_km,factor,source
Asansol,West Bengal,23.68333,86.98333,Bhubaneswar,Odisha,20.27241,85.83385,397.359,508.826,1.28052,osrm
Gadag,Karnataka,15.42977,75.62971,Gundupalaiyam,Puducherry,11.94096,79.80294,594.726,699.282,1.17580,osrm
Nellore,Andhra Pradesh,14.44992,79.98697,Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,805.622,983.798,1.22116,osrm
Sujangarh,Rajasthan,27.70000,74.46667,Banda,Uttar Pradesh,25.47758,80.33491,633.576,828.517,1.30768,osrm
Haridwar,Uttarakhand,29.94791,78.16025,Firozabad,Uttar Pradesh,27.15092,78.39781,311.876,398.218,1.27685,osrm
Delhi Cantonment,Delhi,28.60000,77.13333,Palwal,Haryana,28.14469,77.32546,54.005,66.622,1.23362,osrm
Sitapur,Uttar Pradesh,27.56192,80.68265,Amaravati,Andhra Pradesh,16.51400,80.51600,1228.594,1594.668,1.29796,osrm
Jetpur,Gujarat,21.75482,70.62347,Batala,Punjab,31.80921,75.20294,1206.488,1348.450,1.11767,osrm
Kulti,West Bengal,23.73166,86.84372,Basirhat City,West Bengal,22.66142,88.85477,237.501,272.861,1.14888,osrm
Ajmer,Rajasthan,26.45210,74.63867,Unnao,Uttar Pradesh,26.54706,80.48781,582.109,673.673,1.15730,osrm
Buxar,Bihar,25.57548,83.98043,Bagaha,Bihar,27.09918,84.09003,169.780,262.742,1.54755,osrm
Ambala Sadar,Haryana,30.33544,76.86265,Thanesar,Haryana,29.97323,76.83214,40.383,48.321,1.19657,osrm
Hapur,Uttar Pradesh,28.72985,77.78068,Bhalswa Jahangirpur,Delhi,28.73558,77.16682,59.857,66.882,1.11736,osrm
Nalgonda,Telangana,17.05439,79.26707,Hosapete,Karnataka,15.26954,76.38710,366.039,444.817,1.21522,osrm
Narela,Delhi,28.85267,77.09288,Mohali,Punjab,30.67995,76.72211,206.312,220.657,1.06953,osrm
Purnia,Bihar,25.77895,87.47422,Bihar Sharif,Bihar,25.20084,85.52389,206.039,259.558,1.25975,osrm
Guna,Madhya Pradesh,24.64691,77.31130,Dohad,Gujarat,22.83283,74.25986,370.327,478.606,1.29239,osrm
Nowrangapur,Odisha,19.23114,82.54826,Adoni,Andhra Pradesh,15.62788,77.27495,688.009,915.356,1.33044,osrm
Aurangabad,Bihar,24.75204,84.37420,Chapra,Bihar,25.78031,84.74709,120.330,147.204,1.22334,osrm
Visakhapatnam,Andhra Pradesh,17.68009,83.20161,Howrah,West Bengal,22.57688,88.31857,762.636,876.744,1.14962,osrm
Panipat,Haryana,29.38747,76.96825,Bhavnagar,Gujarat,21.76287,72.15331,975.407,1211.701,1.24225,osrm
Sambalpur,Odisha,21.46527,83.97573,Ghazipur,Uttar Pradesh,25.58333,83.58526,459.634,696.999,1.51642,osrm
Medinipur,West Bengal,22.42114,87.32257,Bhadrak,Odisha,21.05447,86.51560,173.323,206.153,1.18942,osrm
Bhadreswar,West Bengal,22.82449,88.33841,Rajpur Sonarpur,West Bengal,22.43820,88.43205,44.016,58.801,1.33591,osrm
Quthbullapur,Telangana,17.50107,78.45818,Nalgonda,Telangana,17.05439,79.26707,99.213,139.918,1.41027,osrm
Shantipur,West Bengal,23.24723,88.43302,Chapra,Bihar,25.78031,84.74709,467.285,611.451,1.30852,osrm
Gandhidham,Gujarat,23.08333,70.13333,Chanduasi,Uttar Pradesh,28.45178,78.78277,1051.352,1215.122,1.15577,osrm
