start_city,start_state,destination_city,destination_state,distance_km,vehicle_type,fuel_type,mileage,fuel_price,passengers,departure_hour,month,traffic_level,weather_condition,toll_cost,parking_cost,estimated_time_minutes,fuel_consumption_litres,total_trip_cost,cost_per_km,cost_band
Barnala,Punjab,Abohar,Punjab,156.17,SUV,Petrol,12.22,106.21,2,23,8,Low,Clear,221.12,0.0,138.52,12.064,1651.45,10.575,Poor
Barnala,Punjab,Abohar,Punjab,173.57,Hatchback,Diesel,21.99,95.15,4,2,5,Low,Clear,212.21,150.0,162.58,7.451,1155.62,6.658,Excellent
Barnala,Punjab,Abohar,Punjab,169.81,SUV,Petrol,11.0,104.38,4,8,2,High,Cloudy,176.07,60.0,207.92,17.984,2242.7,13.207,Poor
Barnala,Punjab,Abohar,Punjab,181.53,Hatchback,Diesel,22.75,94.02,5,19,5,High,Clear,235.11,40.0,236.96,9.296,1246.88,6.869,Excellent
Barnala,Punjab,Abohar,Punjab,165.14,Sedan,Petrol,17.23,105.82,1,20,10,Medium,Clear,189.18,150.0,179.06,10.016,1513.95,9.168,Average
Mahbubnagar,Telangana,Nalgonda,Telangana,167.44,SUV,Petrol,10.67,117.81,5,18,7,Medium,Cloudy,174.72,40.0,172.51,16.399,2271.66,13.567,Poor
Mahbubnagar,Telangana,Nalgonda,Telangana,164.72,Sedan,Petrol,17.97,113.27,4,19,8,High,Cloudy,175.58,0.0,207.16,10.679,1511.67,9.177,Average
Mahbubnagar,Telangana,Nalgonda,Telangana,181.7,Sedan,Diesel,18.82,107.69,5,17,6,High,Cloudy,97.62,150.0,221.72,11.248,1564.29,8.609,Good
Mahbubnagar,Telangana,Nalgonda,Telangana,184.36,Hatchback,Petrol,20.84,112.83,2,4,12,Low,Clear,280.58,0.0,161.33,8.351,1329.54,7.212,Excellent
Mahbubnagar,Telangana,Nalgonda,Telangana,152.04,SUV,Diesel,15.46,109.43,4,1,12,Medium,Fog,261.44,0.0,163.01,10.277,1514.47,9.961,Average
Bangaon,West Bengal,Halisahar,West Bengal,52.55,Sedan,Diesel,15.98,103.74,1,12,12,Low,Cloudy,59.49,60.0,48.99,3.104,478.35,9.103,Average
Bangaon,West Bengal,Halisahar,West Bengal,51.36,Hatchback,Diesel,17.79,107.01,1,3,10,Medium,Clear,63.93,150.0,53.79,3.017,565.98,11.02,Poor
Bangaon,West Bengal,Halisahar,West Bengal,55.1,Hatchback,Diesel,16.81,102.19,5,20,9,High,Clear,84.4,150.0,69.29,3.819,661.99,12.014,Poor
Bangaon,West Bengal,Halisahar,West Bengal,52.62,Hatchback,CNG,19.35,89.73,3,17,8,High,Clear,81.94,150.0,68.3,3.168,541.82,10.297,Average
