start_city,destination_city,distance_km,vehicle_type,fuel_type,mileage,fuel_price,passengers,departure_hour,traffic_level,weather_condition,toll_cost,parking_cost,estimated_time_minutes,fuel_consumption_litres,total_trip_cost
Bengaluru,Mysuru,148.27,Sedan,Petrol,15.67,94.89,5,19,Medium,Cloudy,252.47,120.0,173.91,9.677,1393.39
Rajkot,Ahmedabad,215.59,Hatchback,Diesel,21.43,97.64,1,9,Medium,Clear,217.57,60.0,233.59,10.641,1435.61
Ahmedabad,Vadodara,118.93,SUV,CNG,9.79,83.65,3,19,Medium,Clear,113.29,40.0,118.0,12.956,1345.6
Rajkot,Ahmedabad,225.28,SUV,Diesel,13.16,88.54,4,5,Medium,Clear,341.6,80.0,256.44,17.97,2187.79
Rajkot,Ahmedabad,223.63,SUV,Petrol,8.77,95.26,3,18,Medium,Clear,221.95,80.0,252.12,26.428,2989.54
Pune,Mumbai,156.85,Sedan,Petrol,12.98,95.65,2,23,High,Cloudy,393.79,120.0,250.21,14.032,1951.9
Ahmedabad,Udaipur,272.64,SUV,Diesel,14.52,87.91,1,6,Medium,Rain,238.76,40.0,322.16,19.656,2231.1
Ahmedabad,Vadodara,121.51,SUV,Petrol,9.35,105.64,2,21,Low,Clear,119.0,40.0,112.5,12.685,1602.66
Ahmedabad,Vadodara,121.42,Sedan,CNG,14.96,77.78,3,2,Medium,Cloudy,144.95,40.0,122.95,8.63,951.5
Pune,Mumbai,168.18,Hatchback,Petrol,18.37,103.53,1,19,Medium,Clear,369.99,0.0,211.65,9.392,1425.83
Ahmedabad,Vadodara,110.46,Sedan,Diesel,14.09,91.11,5,12,Low,Rain,192.42,0.0,113.64,7.612,979.59
Ahmedabad,Vadodara,115.98,SUV,Diesel,14.49,88.48,5,19,Medium,Rain,138.02,80.0,135.54,8.154,1036.33
Bengaluru,Mysuru,154.19,Sedan,CNG,14.58,80.86,5,1,Medium,Clear,238.26,0.0,171.4,10.744,1224.49
Ahmedabad,Surat,278.77,Sedan,Diesel,16.74,92.75,1,17,High,Clear,434.4,0.0,294.56,18.852,2391.52
Pune,Mumbai,158.67,Hatchback,CNG,17.73,76.67,4,21,High,Clear,261.79,0.0,235.94,10.751,1173.73
Pune,Mumbai,165.25,Sedan,Diesel,19.73,95.58,2,14,Medium,Fog,390.16,0.0,263.99,8.836,1332.65
Rajkot,Ahmedabad,222.11,Sedan,Diesel,13.86,92.0,4,19,Medium,Clear,251.17,150.0,247.84,16.297,2092.35
Surat,Mumbai,292.5,SUV,Diesel,9.77,87.06,1,1,Medium,Rain,496.7,0.0,283.54,32.224,3584.59
Delhi,Jaipur,303.0,SUV,Petrol,9.8,95.75,4,16,Medium,Cloudy,279.94,80.0,302.93,31.792,3688.44
Ahmedabad,Udaipur,284.15,Sedan,Petrol,17.93,98.22,4,10,Medium,Cloudy,185.51,60.0,293.65,16.535,2040.44
Rajkot,Ahmedabad,231.02,Hatchback,Diesel,20.1,94.72,3,13,Medium,Clear,299.45,60.0,259.47,11.897,1618.21
Bengaluru,Mysuru,155.24,Sedan,CNG,17.05,73.98,5,12,Medium,Clear,183.12,60.0,165.48,9.306,1054.57
Surat,Mumbai,301.77,Hatchback,Diesel,18.41,96.29,1,7,High,Rain,513.0,80.0,341.35,18.896,2584.75
Rajkot,Ahmedabad,215.64,Sedan,Petrol,14.78,106.84,4,15,Low,Clear,197.05,150.0,203.34,13.603,1958.6
Vadodara,Mumbai,457.13,Hatchback,CNG,17.49,85.75,1,19,Medium,Cloudy,655.16,150.0,371.59,28.011,3420.37
Surat,Mumbai,309.73,Sedan,Diesel,17.3,94.2,3,23,High,Clear,469.77,60.0,279.74,20.207,2676.11
Bengaluru,Mysuru,156.06,SUV,Diesel,15.76,91.53,3,1,Low,Clear,246.53,120.0,149.11,9.272,1325.25
Ahmedabad,Udaipur,267.53,Hatchback,Petrol,16.7,104.05,3,19,High,Clear,183.61,80.0,338.74,18.94,2395.24
Ahmedabad,Surat,291.33,SUV,Petrol,11.87,105.09,1,14,Medium,Clear,376.2,120.0,290.03,26.158,3454.24
Pune,Mumbai,169.75,Sedan,Petrol,16.24,107.37,4,12,Medium,Clear,219.17,0.0,210.61,10.594,1473.49
Ahmedabad,Udaipur,264.22,Hatchback,Petrol,15.15,99.38,3,18,Medium,Clear,225.76,60.0,258.18,17.736,2227.12
Pune,Mumbai,168.99,SUV,Petrol,11.29,103.96,2,4,Low,Clear,200.27,40.0,186.2,13.752,1820.65
Ahmedabad,Surat,264.88,Hatchback,Diesel,20.28,96.34,3,0,High,Cloudy,398.5,120.0,300.79,15.671,2175.97
Bengaluru,Mysuru,149.3,SUV,Petrol,13.32,98.46,4,13,Medium,Clear,168.12,0.0,163.8,11.587,1410.87
Pune,Mumbai,154.24,Hatchback,CNG,17.96,82.34,5,7,High,Clear,227.37,80.0,229.89,10.017,1240.97
Delhi,Jaipur,293.0,SUV,Petrol,12.07,97.24,5,20,Low,Cloudy,339.14,80.0,267.47,23.037,2932.94
